rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name
201,HD 10180,d,Radial Velocity,6,16.35700000,0.00380000,-0.00380000,0,0.128590,0.002020,-0.002020,0,0.131000,0.052000,-0.052000,0,,,,,0.03780,0.00220,-0.00220,0,,,,,,,,,,,,,0,0,39.02,1.10,-1.10,0,7.321,0.010,0,0,5911.00,19.00,-19.00,0,0,1.0600,0.0500,-0.0500,0,0,1.11,0.04,-0.04,0,0,HD 10180,HIP 7599
202,HD 10180,e,Radial Velocity,6,49.74800000,0.02500000,-0.02500000,0,0.269900,0.004300,-0.004300,0,0.051000,0.033000,-0.033000,0,,,,,0.08050,0.00320,-0.00320,0,,,,,,,,,,,,,0,0,39.02,1.10,-1.10,0,7.321,0.010,0,0,5911.00,19.00,-19.00,0,0,1.0600,0.0500,-0.0500,0,0,1.11,0.04,-0.04,0,0,HD 10180,HIP 7599
203,HD 10180,f,Radial Velocity,6,122.74400000,0.23200000,-0.23200000,0,0.492900,0.007800,-0.007800,0,0.119000,0.054000,-0.054000,0,,,,,0.07220,0.00470,-0.00470,0,,,,,,,,,,,,,0,0,39.02,1.10,-1.10,0,7.321,0.010,0,0,5911.00,19.00,-19.00,0,0,1.0600,0.0500,-0.0500,0,0,1.11,0.04,-0.04,0,0,HD 10180,HIP 7599
204,HD 10180,g,Radial Velocity,6,604.67000000,10.42000000,-10.42000000,0,1.427000,0.028000,-0.028000,0,0.263000,0.152000,-0.152000,0,,,,,0.07320,0.01380,-0.01380,0,,,,,,,,,,,,,0,0,39.02,1.10,-1.10,0,7.321,0.010,0,0,5911.00,19.00,-19.00,0,0,1.0600,0.0500,-0.0500,0,0,1.11,0.04,-0.04,0,0,HD 10180,HIP 7599
205,HD 10180,h,Radial Velocity,6,2205.00000000,105.90000000,-105.90000000,0,3.381000,0.121000,-0.121000,0,0.095000,0.086000,-0.086000,0,,,,,0.20660,0.01390,-0.01390,0,,,,,,,,,,,,,0,0,39.02,1.10,-1.10,0,7.321,0.010,0,0,5911.00,19.00,-19.00,0,0,1.0600,0.0500,-0.0500,0,0,1.11,0.04,-0.04,0,0,HD 10180,HIP 7599
206,HD 101930,b,Radial Velocity,1,70.46000000,0.18000000,-0.18000000,0,0.302000,,,0,0.110000,0.020000,-0.020000,0,,,,,0.30000,,,0,,,,,,,,,,,,,0,0,30.50,0.87,-0.92,0,8.210,0.000,0,0,,,,,,,,,,,,,,,,HD 101930,HIP 57172
207,HD 102117,b,Radial Velocity,1,20.81330000,0.00640000,-0.00640000,0,0.153200,0.008800,-0.008800,0,0.121000,0.082000,-0.082000,0,,,,,0.17200,0.02000,-0.02000,0,,,,,,,,,,,,,0,0,42.00,1.41,-1.52,0,7.448,0.011,0,0,,,,,,,,,,,,,,,,HD 102117,HIP 57291
208,HD 102195,b,Radial Velocity,1,4.11377500,0.00055700,-0.00055700,0,,,,,0.000000,,,0,,,,,0.45000,,,0,,,,,,,,,,,,,0,0,28.98,0.94,-1.01,0,8.062,0.014,0,0,,,,,,,,,,,,,,,,HD 102195,HIP 57370
209,HD 102272,b,Radial Velocity,1,127.58000000,0.30000000,-0.30000000,0,0.614000,0.001000,-0.001000,0,0.050000,0.040000,-0.040000,0,,,,,5.90000,0.20000,-0.20000,0,,,,,,,,,,,,,0,0,164.20,,,-1,8.711,0.018,0,0,,,,,,,,,,,,,,,,HD 102272,HIP 57428
210,HD 102329,b,Radial Velocity,1,778.10000000,7.50000000,-7.50000000,0,2.030000,0.050000,-0.050000,0,0.211000,0.042000,-0.042000,0,,,,,5.90000,0.30000,-0.30000,0,,,,,,,,,,,,,0,0,138.50,17.44,-23.31,0,7.886,0.014,0,0,,,,,,,,,,,,,,,,HD 102329,HIP 57467
211,HD 102365,b,Radial Velocity,1,122.10000000,0.30000000,-0.30000000,0,0.460000,0.040000,-0.040000,0,0.340000,0.140000,-0.140000,0,,,,,0.05000,0.00800,-0.00800,0,,,,,,,,,,,,,0,0,9.24,0.06,-0.06,0,4.910,,0,0,,,,,,,,,,,,,,,,HD 102365,HIP 57443
212,HD 102956,b,Radial Velocity,1,6.49500000,0.00040000,-0.00040000,0,0.081000,0.002000,-0.002000,0,0.048000,0.027000,-0.027000,0,,,,,0.96000,0.05000,-0.05000,0,,,,,,,,,,,,,0,0,121.07,12.37,-15.55,0,7.851,0.010,0,0,5054.00,44.00,-44.00,0,0,1.6800,0.1100,-0.1100,-1,0,4.40,0.10,-0.10,0,0,HD 102956,HIP 57820
213,HD 103197,b,Radial Velocity,1,47.84000000,0.03000000,-0.03000000,0,0.249000,0.004000,-0.004000,0,0.000000,,,0,,,,,0.09800,0.00600,-0.00600,0,,,,,,,,,,,,,0,0,49.33,3.34,-3.86,0,9.391,0.017,0,0,5303.00,58.00,-58.00,0,0,0.9000,,,0,0,,,,,0,HD 103197,HIP 57931
214,HD 103720,b,Radial Velocity,1,4.55570000,0.00010000,-0.00010000,0,0.049800,0.000800,-0.000800,0,0.086000,0.024000,-0.024000,0,,,,,0.62000,0.02500,-0.02500,0,,,,,,,,,,,,,0,0,41.60,,,0,9.490,,0,0,5017.00,88.00,-88.00,0,0,0.7940,0.0400,-0.0400,0,0,0.73,0.02,-0.02,0,0,HD 103720,HIP 58237
215,HD 103774,b,Radial Velocity,1,5.88810000,0.00050000,-0.00050000,0,0.070000,0.001000,-0.001000,0,0.090000,0.040000,-0.040000,0,,,,,0.36700,0.02200,-0.02200,0,,,,,,,,,,,,,0,0,53.08,2.27,-2.48,0,7.121,0.011,0,0,6489.00,77.00,-77.00,0,0,1.3350,0.0300,-0.0300,0,0,,,,,,HD 103774,HIP 58263
216,HD 104067,b,Radial Velocity,1,55.80600000,0.04900000,-0.04900000,0,0.264300,0.004500,-0.004500,0,0.000000,,,0,,,,,0.18600,0.01300,-0.01300,0,,,,,,,,,,,,,0,0,20.82,0.44,-0.46,0,7.920,0.010,0,0,,,,,,,,,,,,,,,,HD 104067,HIP 58451
217,HD 10442,b,Radial Velocity,1,1043.00000000,9.00000000,-9.00000000,0,2.335000,0.014000,-0.014000,0,0.110000,0.060000,-0.060000,0,,,,,2.10000,0.15000,-0.15000,0,,,,,,,,,,,,,0,0,,,,,7.840,,0,0,5034.00,44.00,-44.00,0,0,1.5600,0.0900,-0.0900,0,0,,,,,0,HD 10442,
218,HD 104985,b,Radial Velocity,1,199.50500000,0.08500000,-0.08500000,0,0.950000,,,0,0.090000,0.009000,-0.009000,0,,,,,8.30000,,,0,,,,,,,,,,,,,0,0,102.04,5.14,-5.72,0,5.800,,0,0,,,,,,,,,,,,,,,,HD 104985,HIP 58952
219,HD 106252,b,Radial Velocity,1,1531.00000000,4.70000000,-4.70000000,0,2.611000,0.026000,-0.026000,0,0.482000,0.011000,-0.011000,0,,,,,6.92000,0.16000,-0.16000,0,,,,,,,,,,,,,0,0,37.44,1.23,-1.32,0,7.408,0.011,0,0,,,,,,,,,,,,,,,,HD 106252,HIP 59610
220,HD 106270,b,Radial Velocity,1,2890.00000000,390.00000000,-390.00000000,0,4.300000,0.400000,-0.400000,0,0.402000,0.054000,-0.054000,0,,,,,11.00000,0.80000,-0.80000,0,,,,,,,,,,,,,0,0,87.87,7.23,-8.65,0,7.577,0.011,0,0,,,,,,,,,,,,,,,,HD 106270,HIP 59625
221,HD 10647,b,Radial Velocity,1,989.20000000,8.10000000,-8.10000000,0,2.015000,0.011000,-0.011000,0,0.150000,0.080000,-0.080000,0,,,,,0.94000,0.08000,-0.08000,0,,,,,,,,,,,,,0,0,17.35,0.19,-0.19,0,5.520,,0,0,6218.00,20.00,-20.00,0,0,1.1100,0.0200,-0.0200,0,0,1.10,0.02,-0.02,0,0,HD 10647,HIP 7978
222,HD 106515 A,b,Radial Velocity,1,3630.00000000,12.00000000,-12.00000000,0,4.590000,0.010000,-0.010000,0,0.572000,0.011000,-0.011000,0,,,,,9.61000,0.14000,-0.14000,0,,,,,,,,,,,,,0,0,36.36,1.93,-2.16,0,7.971,0.014,0,0,5362.00,29.00,-29.00,0,0,0.9700,0.0100,-0.0100,0,0,1.62,0.05,-0.05,0,0,HD 106515 A,HIP 59743 A
223,HD 106906,b,Imaging,1,,,,,650.000000,,,0,,,,,11.00000,2.00000,-2.00000,0,,,,,,,,,,,,,,,,,0,0,91.83,7.01,-8.27,0,7.797,0.011,0,0,6516.00,165.00,-165.00,0,0,1.5000,0.1000,-0.1000,0,0,,,,,,HD 106906,HIP 59960
224,HD 10697,b,Radial Velocity,1,1075.20000000,1.50000000,-1.50000000,0,2.131000,0.018000,-0.018000,0,0.099000,0.007000,-0.007000,0,,,,,6.21000,0.15000,-0.15000,0,,,,,,,,,,,,,0,0,32.56,0.84,-0.88,0,6.279,0.010,0,0,,,,,,,,,,,,,,,,HD 10697,HIP 8159
225,HD 107148,b,Radial Velocity,1,48.05600000,0.05700000,-0.05700000,0,0.269000,0.016000,-0.016000,0,0.050000,0.170000,-0.170000,0,,,,,0.21000,0.03600,-0.03600,0,,,,,,,,,,,,,0,0,51.26,2.50,-2.77,0,8.015,0.012,0,0,,,,,,,,,,,,,,,,HD 107148,HIP 60081
226,HD 108147,b,Radial Velocity,1,10.89850000,0.00450000,-0.00450000,0,0.102000,0.005900,-0.005900,0,0.530000,0.120000,-0.120000,0,,,,,0.26100,0.04000,-0.04000,0,,,,,,,,,,,,,0,0,38.56,1.00,-1.05,0,6.995,0.010,0,0,,,,,,,,,,,,,,,,HD 108147,HIP 60644
227,HD 108341,b,Radial Velocity,1,1129.00000000,6.00000000,-8.00000000,0,2.000000,0.040000,-0.040000,0,0.850000,0.090000,-0.080000,0,,,,,3.50000,3.40000,-1.20000,0,,,,,,,,,,,,,0,0,49.40,,,0,9.360,,0,0,5122.00,79.00,-79.00,0,0,0.8430,0.0240,-0.0240,0,0,0.79,0.03,-0.03,0,0,HD 108341,HIP 60788
228,HD 108863,b,Radial Velocity,1,443.40000000,4.20000000,-4.20000000,0,1.400000,0.030000,-0.030000,0,0.060000,,,0,,,,,2.60000,0.20000,-0.20000,0,,,,,,,,,,,,,0,0,138.50,18.02,-24.36,0,7.739,0.012,0,0,,,,,,,,,,,,,,,,HD 108863,HIP 61020
229,HD 108874,b,Radial Velocity,2,395.80000000,0.60000000,-0.60000000,0,1.038000,0.014000,-0.014000,0,0.082000,0.021000,-0.021000,0,,,,,1.29000,0.06000,-0.06000,0,,,,,,,,,,,,,0,0,68.54,5.37,-6.37,0,,,,,,,,,,,,,,,,,,,,HD 108874,HIP 61028
230,HD 108874,c,Radial Velocity,2,1624.00000000,23.00000000,-23.00000000,0,2.659000,0.060000,-0.060000,0,0.239000,0.031000,-0.031000,0,,,,,0.99000,0.06000,-0.06000,0,,,,,,,,,,,,,0,0,68.54,5.37,-6.37,0,,,,,,,,,,,,,,,,,,,,HD 108874,HIP 61028
231,HD 109246,b,Radial Velocity,1,68.27000000,0.13000000,-0.13000000,0,0.330000,0.080000,-0.080000,0,0.120000,0.040000,-0.040000,0,,,,,0.77000,0.09000,-0.09000,0,,,,,,,,,,,,,0,0,65.62,3.16,-3.49,0,8.757,0.015,0,0,,,,,,,,,,,,,,,,HD 109246,HIP 61177
232,HD 109271,b,Radial Velocity,2,7.85430000,0.00090000,-0.00090000,0,0.079000,0.001000,-0.001000,0,0.250000,0.080000,-0.080000,0,,,,,0.05400,0.00400,-0.00400,0,,,,,,,,,,,,,0,0,56.92,2.89,-3.22,0,8.055,0.013,0,0,5783.00,62.00,-62.00,0,0,1.0470,0.0240,-0.0240,0,0,,,,,,HD 109271,HIP 61300
233,HD 109271,c,Radial Velocity,2,30.93000000,0.02000000,-0.02000000,0,0.196000,0.003000,-0.003000,0,0.150000,0.090000,-0.090000,0,,,,,0.07600,0.00700,-0.00700,0,,,,,,,,,,,,,0,0,56.92,2.89,-3.22,0,8.055,0.013,0,0,5783.00,62.00,-62.00,0,0,1.0470,0.0240,-0.0240,0,0,,,,,,HD 109271,HIP 61300
234,HD 109749,b,Radial Velocity,1,5.24000000,0.00200000,-0.00200000,0,0.063500,,,0,0.010000,0.010000,-0.010000,0,,,,,0.28000,0.01600,-0.01600,0,,,,,,,,,,,,,0,0,59.03,5.98,-7.50,0,8.208,0.012,0,0,5903.00,50.00,-50.00,0,0,1.2000,0.1000,-0.1000,0,0,1.24,0.10,-0.10,0,0,HD 109749,HIP 61595 A
235,HD 110014,b,Radial Velocity,1,835.47700000,6.04000000,-6.04000000,0,2.140000,0.030000,-0.030000,0,0.462000,0.069000,-0.069000,0,,,,,11.09000,1.00000,-1.00000,0,,,,,,,,,,,,,0,0,97.66,7.73,-9.18,0,4.670,,0,0,,,,,,,,,,,,,,,,HD 110014,HIP 61740
236,HD 111232,b,Radial Velocity,1,1143.00000000,14.00000000,-14.00000000,0,1.970000,,,0,0.200000,0.010000,-0.010000,0,,,,,6.80000,,,0,,,,,,,,,,,,,0,0,28.88,0.65,-0.68,0,7.590,,0,0,5494.00,,,0,0,0.7800,,,0,0,,,,,0,HD 111232,HIP 62534
237,HD 113337,b,Radial Velocity,1,324.00000000,1.70000000,-3.30000000,0,0.920000,0.090000,-0.090000,0,0.460000,0.040000,-0.040000,0,,,,,2.83000,0.24000,-0.24000,0,,,,,,,,,,,,,0,0,37.42,0.73,-0.76,0,6.008,0.009,0,0,6576.60,153.20,-149.70,,0,1.4000,0.1400,-0.1400,0,0,1.50,0.15,-0.15,0,0,HD 113337,HIP 63584
238,HD 113538,b,Radial Velocity,2,663.20000000,8.40000000,-7.40000000,0,1.240000,0.040000,-0.040000,,0.140000,0.080000,-0.080000,0,,,,,0.36000,0.04000,-0.04000,0,,,,,,,,,,,,,0,0,15.90,,,0,9.057,,0,0,4462.00,145.00,-145.00,0,0,0.5850,0.0500,-0.0500,0,0,0.53,0.02,-0.02,0,0,HD 113538,HIP 63833
239,HD 113538,c,Radial Velocity,2,1818.00000000,25.00000000,-22.00000000,0,2.440000,0.070000,-0.070000,0,0.200000,0.040000,-0.040000,0,,,,,0.93000,0.06000,-0.06000,0,,,,,,,,,,,,,0,0,15.90,,,0,9.057,,0,0,4462.00,145.00,-145.00,0,0,0.5850,0.0500,-0.0500,0,0,0.53,0.02,-0.02,0,0,HD 113538,HIP 63833
240,HD 114386,b,Radial Velocity,1,937.70000000,15.60000000,-15.60000000,0,1.650000,,,0,0.230000,0.030000,-0.030000,0,,,,,1.24000,,,0,,,,,,,,,,,,,0,0,28.04,1.00,-1.08,0,8.730,0.000,0,0,4804.00,,,0,0,0.6800,,,0,0,,,,,0,HD 114386,HIP 64295
241,HD 114613,b,Radial Velocity,1,3827.00000000,105.00000000,-105.00000000,0,5.160000,0.130000,-0.130000,0,0.250000,0.080000,-0.080000,0,,,,,0.48000,0.04000,-0.04000,0,,,,,,,,,,,,,0,0,20.48,0.33,-0.34,0,4.850,,0,0,5729.00,17.00,-17.00,0,0,1.3640,,,0,0,,,,,,HD 114613,HIP 64408
242,HD 114729,b,Radial Velocity,1,1114.00000000,15.00000000,-15.00000000,0,2.110000,0.120000,-0.120000,0,0.167000,0.055000,-0.055000,0,,,,,0.95000,0.10000,-0.10000,0,,,,,,,,,,,,,0,0,35.00,1.15,-1.23,0,,,,,,,,,,,,,,,,,,,,HD 114729,HIP 64459
243,HD 114762,b,Radial Velocity,1,83.88800000,0.00860000,-0.00860000,0,0.363000,0.021000,-0.021000,0,0.335900,0.009100,-0.009100,0,,,,,11.68000,0.96000,-0.96000,0,,,,,,,,,,,,,0,0,40.57,2.24,-2.52,0,7.301,0.013,0,0,,,,,,,,,,,,,,,,HD 114762,HIP 64426
244,HD 114783,b,Radial Velocity,1,493.70000000,1.80000000,-1.80000000,0,1.160000,0.019000,-0.019000,0,0.144000,0.032000,-0.032000,0,,,,,1.10000,0.06000,-0.06000,0,,,,,,,,,,,,,0,0,20.43,0.43,-0.45,0,7.550,0.010,0,0,,,,,,,,,,,,,,,,HD 114783,HIP 64457
245,HD 11506,b,Radial Velocity,2,1627.50000000,5.90000000,-5.90000000,0,2.708000,0.007000,-0.007000,0,0.370000,0.010000,-0.010000,0,,,,,4.21000,0.07000,-0.07000,0,,,,,,,,,,,,,0,0,51.70,1.60,-1.60,0,7.510,,0,0,6055.00,44.00,-44.00,0,0,1.2400,0.0200,-0.0200,0,0,1.33,0.05,-0.05,0,0,HD 11506,HIP 8770
246,HD 11506,c,Radial Velocity,2,223.60000000,0.60000000,-0.60000000,0,0.721000,0.001000,-0.001000,0,0.240000,0.050000,-0.050000,0,,,,,0.36000,0.02000,-0.02000,0,,,,,,,,,,,,,0,0,51.70,1.60,-1.60,0,7.510,,0,0,6055.00,44.00,-44.00,0,0,1.2400,0.0200,-0.0200,0,0,1.33,0.05,-0.05,0,0,HD 11506,HIP 8770
247,HD 116029,b,Radial Velocity,1,670.00000000,11.00000000,-11.00000000,0,1.780000,0.050000,-0.050000,0,0.054000,,,0,,,,,2.10000,0.20000,-0.20000,0,,,,,,,,,,,,,0,0,110.62,10.82,-13.45,0,7.871,0.010,0,0,,,,,,,,,,,,,,,,HD 116029,HIP 65117
248,HD 117207,b,Radial Velocity,1,2597.00000000,41.00000000,-41.00000000,0,3.790000,0.220000,-0.220000,0,0.144000,0.035000,-0.035000,0,,,,,1.88000,0.17000,-0.17000,0,,,,,,,,,,,,,0,0,33.01,0.97,-1.03,0,7.247,0.010,0,0,,,,,,,,,,,,,,,,HD 117207,HIP 65808
249,HD 117618,b,Radial Velocity,1,25.82700000,0.01900000,-0.01900000,0,0.176000,0.010000,-0.010000,0,0.420000,0.170000,-0.170000,0,,,,,0.17800,0.02100,-0.02100,0,,,,,,,,,,,,,0,0,38.02,1.30,-1.39,0,7.169,0.011,0,0,,,,,,,,,,,,,,,,HD 117618,HIP 66047
250,HD 118203,b,Radial Velocity,1,6.13350000,0.00060000,-0.00060000,0,0.070000,,,0,0.309000,0.014000,-0.014000,0,,,,,2.13000,,,0,,,,,,,,,,,,,0,0,88.57,6.00,-6.94,0,8.057,0.012,0,0,,,,,,,,,,,,,,,,HD 118203,HIP 66192
251,HD 11964,b,Radial Velocity,2,1945.00000000,26.00000000,-26.00000000,0,3.160000,0.190000,-0.190000,0,0.041000,0.047000,-0.047000,0,,,,,0.62200,0.05600,-0.05600,0,,,,,,,,,,,,,0,0,33.98,1.02,-1.08,0,6.410,,0,0,,,,,,,,,,,,,,,,HD 11964,HIP 9094
252,HD 11964,c,Radial Velocity,2,37.91000000,0.04100000,-0.04100000,0,0.229000,0.013000,-0.013000,0,0.300000,0.170000,-0.170000,0,,,,,0.07880,0.00970,-0.00970,0,,,,,,,,,,,,,0,0,33.98,1.02,-1.08,0,6.410,,0,0,,,,,,,,,,,,,,,,HD 11964,HIP 9094
253,HD 11977,b,Radial Velocity,1,711.00000000,8.00000000,-8.00000000,0,1.930000,,,0,0.400000,0.070000,-0.070000,0,,,,,6.54000,,,0,,,,,,,,,,,,,0,0,66.49,2.02,-2.14,0,4.690,,0,0,,,,,,,,,,,,,,,,HD 11977,HIP 8928
254,HD 120084,b,Radial Velocity,1,2082.00000000,24.00000000,-35.00000000,0,4.300000,,,0,0.660000,0.140000,-0.100000,0,,,,,4.50000,,,0,,,,,,,,,,,,,0,0,97.66,4.46,-4.91,0,5.899,0.009,0,0,4892.00,22.00,-22.00,0,0,2.3900,0.0600,-0.3000,0,0,9.12,0.65,-0.61,0,0,HD 120084,HIP 66903
255,HD 121504,b,Radial Velocity,1,63.33000000,0.03000000,-0.03000000,0,0.330000,,,0,0.030000,0.010000,-0.010000,0,,,,,1.22000,,,0,,,,,,,,,,,,,0,0,44.37,1.72,-1.87,0,7.517,0.011,0,0,6075.00,,,0,0,1.1800,,,0,0,,,,,0,HD 121504,HIP 68162
256,HD 125595,b,Radial Velocity,1,9.67370000,0.00390000,-0.00390000,0,0.080900,0.001400,-0.001400,0,0.000000,,,0,,,,,0.04100,0.00400,-0.00400,0,,,,,,,,,,,,,0,0,27.45,0.88,-0.94,0,9.000,,0,0,,,,,,,,,,,,,,,,HD 125595,HIP 70170
257,HD 125612,b,Radial Velocity,3,559.40000000,1.30000000,-1.30000000,0,1.370000,,,0,0.460000,0.010000,-0.010000,0,,,,,3.00000,,,0,,,,,,,,,,,,,0,0,52.83,3.64,-4.22,0,8.317,0.014,0,0,5900.00,18.00,-18.00,0,0,1.0910,0.0270,-0.0270,0,0,,,,,0,HD 125612,HIP 70123
258,HD 125612,c,Radial Velocity,3,4.15470000,0.00050000,-0.00050000,0,0.050000,,,0,0.270000,0.120000,-0.120000,0,,,,,0.05800,,,0,,,,,,,,,,,,,0,0,52.83,3.64,-4.22,0,8.317,0.014,0,0,5900.00,18.00,-18.00,0,0,1.0910,0.0270,-0.0270,0,0,,,,,0,HD 125612,HIP 70123
259,HD 125612,d,Radial Velocity,3,3008.00000000,202.00000000,-202.00000000,0,4.200000,,,,0.280000,0.120000,-0.120000,0,,,,,7.20000,,,0,,,,,,,,,,,,,0,0,52.83,3.64,-4.22,0,8.317,0.014,0,0,5900.00,18.00,-18.00,0,0,1.0910,0.0270,-0.0270,0,0,,,,,0,HD 125612,HIP 70123
260,HD 12661,b,Radial Velocity,2,262.70900000,0.08300000,-0.08300000,0,0.831000,0.048000,-0.048000,0,0.376800,0.007700,-0.007700,0,,,,,2.30000,0.19000,-0.19000,0,,,,,,,,,,,,,0,0,37.16,1.11,-1.18,0,7.425,0.011,0,0,,,,,,,,,,,,,,,,HD 12661,HIP 9683
261,HD 12661,c,Radial Velocity,2,1708.00000000,14.00000000,-14.00000000,0,2.900000,0.170000,-0.170000,0,0.031000,0.022000,-0.022000,0,,,,,1.92000,0.16000,-0.16000,0,,,,,,,,,,,,,0,0,37.16,1.11,-1.18,0,7.425,0.011,0,0,,,,,,,,,,,,,,,,HD 12661,HIP 9683
262,HD 126614,b,Radial Velocity,1,1244.00000000,17.00000000,-17.00000000,0,2.350000,0.020000,-0.020000,0,0.410000,0.100000,-0.100000,0,,,,,0.38000,0.04000,-0.04000,0,,,,,,,,,,,,,0,0,68.35,4.98,-5.83,0,8.788,0.019,0,0,5585.00,44.00,-44.00,0,0,1.1450,0.0300,-0.0300,0,0,1.09,0.06,-0.06,0,0,HD 126614,HIP 70623
263,HD 128311,b,Radial Velocity,2,453.01900000,0.40400000,-0.40400000,0,1.084000,0.006000,-0.006000,0,0.303000,0.011000,-0.011000,0,,,,,1.76900,0.02300,-0.02300,0,,,,,,,,,30.000,,,-1,0,0,,,,,7.510,0.050,0,0,,,,,0,0.8280,0.0080,-0.0120,0,0,0.76,0.02,-0.02,0,0,HD 128311,HIP 71395
264,HD 128311,c,Radial Velocity,2,921.53800000,1.15000000,-1.15000000,0,1.740000,0.010000,-0.010000,0,0.159000,0.006000,-0.006000,0,3.78900,0.92400,-0.43200,0,3.12500,0.06900,-0.06900,0,,,,,,,,,55.950,14.553,-14.553,0,0,0,,,,,7.510,0.050,0,0,,,,,0,0.8280,0.0080,-0.0120,0,0,0.76,0.02,-0.02,0,0,HD 128311,HIP 71395
265,HD 129445,b,Radial Velocity,1,1840.00000000,55.00000000,-55.00000000,0,2.900000,0.200000,-0.200000,0,0.700000,0.100000,-0.100000,0,,,,,1.60000,0.60000,-0.60000,0,,,,,,,,,,,,,0,0,67.61,4.80,-5.59,0,8.787,0.013,0,0,,,,,,,,,,,,,,,,HD 129445,HIP 72203
266,HD 130322,b,Radial Velocity,1,10.70871000,0.00018000,-0.00018000,0,0.092500,,,0,0.029000,0.016000,-0.016000,0,,,,,1.15000,,,0,,,,,,,,,,,,,0,0,29.76,1.28,-1.40,0,8.031,0.016,0,0,5387.00,44.00,-44.00,0,0,0.9200,0.0300,-0.0300,0,0,0.85,0.04,-0.04,0,0,HD 130322,HIP 72339
267,HD 131496,b,Radial Velocity,1,883.00000000,29.00000000,-29.00000000,0,2.090000,0.070000,-0.070000,0,0.163000,0.073000,-0.073000,0,,,,,2.20000,0.20000,-0.20000,0,,,,,,,,,,,,,0,0,121.36,12.90,-16.38,0,7.799,0.011,0,0,,,,,,,,,,,,,,,,HD 131496,HIP 72845
268,HD 131664,b,Radial Velocity,1,1951.00000000,41.00000000,-41.00000000,0,3.170000,0.030000,-0.030000,0,0.638000,0.020000,-0.020000,0,,,,,18.15000,0.35000,-0.35000,0,,,,,,,,,,,,,0,0,57.21,2.80,-3.11,0,8.128,0.012,0,0,5886.00,21.00,-21.00,0,0,1.1000,0.0300,-0.0300,0,0,1.16,,,0,0,HD 131664,HIP 73408
269,HD 13189,b,Radial Velocity,1,471.60000000,6.00000000,-6.00000000,0,1.850000,0.350000,-0.350000,0,0.270000,0.060000,-0.060000,0,,,,,14.00000,6.00000,-6.00000,0,,,,,,,,,,,,,0,0,300.30,,,-1,7.556,0.011,0,0,,,,,,,,,,,,,,,,HD 13189,HIP 10085
270,HD 132406,b,Radial Velocity,1,974.00000000,39.00000000,-39.00000000,0,1.980000,,,0,0.340000,0.090000,-0.090000,0,,,,,5.61000,,,0,,,,,,,,,,,,,0,0,70.97,3.68,-4.10,0,8.467,0.013,0,0,,,,,,,,,,,,,,,,HD 132406,HIP 73146
271,HD 132563,b,Radial Velocity,1,1544.00000000,34.00000000,-34.00000000,0,2.620000,0.040000,-0.040000,0,0.220000,0.090000,-0.090000,0,,,,,1.49000,0.09000,-0.09000,0,,,,,,,,,,,,,0,0,98.52,16.28,-24.33,0,8.928,0.016,0,0,,,,,,,,,,,,,,,,HD 132563,HIP 73261 A
272,HD 134987,b,Radial Velocity,2,258.19000000,0.07000000,-0.07000000,0,0.810000,0.020000,-0.020000,0,0.233000,0.002000,-0.002000,0,,,,,1.59000,0.02000,-0.02000,0,,,,,,,,,,,,,0,0,25.65,0.63,-0.66,0,6.450,,0,0,,,,,,,,,,,,,,,,HD 134987,HIP 74500
273,HD 134987,c,Radial Velocity,2,5000.00000000,400.00000000,-400.00000000,0,5.800000,0.500000,-0.500000,0,0.120000,0.020000,-0.020000,0,,,,,0.82000,0.03000,-0.03000,0,,,,,,,,,,,,,0,0,25.65,0.63,-0.66,0,6.450,,0,0,,,,,,,,,,,,,,,,HD 134987,HIP 74500
274,HD 136418,b,Radial Velocity,1,464.30000000,3.20000000,-3.20000000,0,1.320000,0.030000,-0.030000,0,0.255000,0.041000,-0.041000,0,,,,,2.00000,0.10000,-0.10000,0,,,,,,,,,,,,,0,0,106.38,7.57,-8.82,0,7.879,0.011,0,0,5071.00,44.00,-44.00,0,0,1.3300,0.0900,-0.0900,0,0,3.40,0.10,-0.10,0,0,HD 136418,HIP 74961
